,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
24,187838,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL109845,=,nM,27.0,CHEMBL251,Homo sapiens,Ki,nM,27.0
25,189881,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092941,=,nM,7.0,CHEMBL251,Homo sapiens,Ki,nM,7.0
26,190190,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110646,=,nM,61.0,CHEMBL251,Homo sapiens,Ki,nM,61.0
27,190192,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113228,=,nM,14.0,CHEMBL251,Homo sapiens,Ki,nM,14.0
28,191176,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL437842,=,nM,267.0,CHEMBL251,Homo sapiens,Ki,nM,267.0
29,192275,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL607759,=,nM,4450.0,CHEMBL251,Homo sapiens,Ki,nM,4450.0
30,192281,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2094083,=,nM,3.1,CHEMBL251,Homo sapiens,Ki,nM,3.1
31,192287,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL258534,=,nM,39.0,CHEMBL251,Homo sapiens,Ki,nM,39.0
32,192592,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL432624,=,nM,76.0,CHEMBL251,Homo sapiens,Ki,nM,76.0
33,193782,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113967,=,nM,2.0,CHEMBL251,Homo sapiens,Ki,nM,2.0
34,194904,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113542,=,nM,15.0,CHEMBL251,Homo sapiens,Ki,nM,15.0
35,194906,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112740,=,nM,50.0,CHEMBL251,Homo sapiens,Ki,nM,50.0
36,194908,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112631,=,nM,3.0,CHEMBL251,Homo sapiens,Ki,nM,3.0
37,194910,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL323945,=,nM,3.0,CHEMBL251,Homo sapiens,Ki,nM,3.0
38,195774,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092787,=,nM,96.0,CHEMBL251,Homo sapiens,Ki,nM,96.0
39,195780,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL262363,=,nM,1.8,CHEMBL251,Homo sapiens,Ki,nM,1.8
40,196118,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325993,=,nM,62.0,CHEMBL251,Homo sapiens,Ki,nM,62.0
41,196120,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325646,=,nM,57.0,CHEMBL251,Homo sapiens,Ki,nM,57.0
42,197938,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092786,=,nM,273.0,CHEMBL251,Homo sapiens,Ki,nM,273.0
43,198262,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325350,=,nM,9.0,CHEMBL251,Homo sapiens,Ki,nM,9.0
44,198264,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL109499,=,nM,11.0,CHEMBL251,Homo sapiens,Ki,nM,11.0
45,199174,CHEMBL642127,Displacement of [3H]CGS-21680 from Adenosine A2A receptor in bovine striatal membrane,B,CHEMBL309618,=,nM,2140.0,CHEMBL251,Homo sapiens,Ki,nM,2140.0
46,199226,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL410115,=,nM,1560.0,CHEMBL251,Homo sapiens,Ki,nM,1560.0
47,199627,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112773,=,nM,2.0,CHEMBL251,Homo sapiens,Ki,nM,2.0
48,200495,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092788,=,nM,94.0,CHEMBL251,Homo sapiens,Ki,nM,94.0
49,200501,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL438418,=,nM,324.0,CHEMBL251,Homo sapiens,Ki,nM,324.0
50,200824,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113376,=,nM,27.0,CHEMBL251,Homo sapiens,Ki,nM,27.0
51,200826,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110698,=,nM,6.0,CHEMBL251,Homo sapiens,Ki,nM,6.0
52,200828,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL114405,=,nM,104.0,CHEMBL251,Homo sapiens,Ki,nM,104.0
53,200830,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL17127,=,nM,0.6,CHEMBL251,Homo sapiens,Ki,nM,0.6
54,201721,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL408918,=,nM,29.0,CHEMBL251,Homo sapiens,Ki,nM,29.0
55,203305,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL109753,=,nM,190.0,CHEMBL251,Homo sapiens,Ki,nM,190.0
56,204201,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL410095,=,nM,1181.0,CHEMBL251,Homo sapiens,Ki,nM,1181.0
57,204532,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110074,=,nM,4.0,CHEMBL251,Homo sapiens,Ki,nM,4.0
58,204534,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL324077,=,nM,6.0,CHEMBL251,Homo sapiens,Ki,nM,6.0
59,204536,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL323621,=,nM,4.0,CHEMBL251,Homo sapiens,Ki,nM,4.0
60,204538,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL420307,=,nM,5.0,CHEMBL251,Homo sapiens,Ki,nM,5.0
61,205331,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL260563,=,nM,1230.0,CHEMBL251,Homo sapiens,Ki,nM,1230.0
62,206905,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112897,=,nM,40.0,CHEMBL251,Homo sapiens,Ki,nM,40.0
63,206907,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112249,=,nM,192.0,CHEMBL251,Homo sapiens,Ki,nM,192.0
64,206909,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL320349,=,nM,12.0,CHEMBL251,Homo sapiens,Ki,nM,12.0
65,207732,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL3350613,=,nM,6.4,CHEMBL251,Homo sapiens,Ki,nM,6.4
66,207738,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL224874,=,nM,2.0,CHEMBL251,Homo sapiens,Ki,nM,2.0
67,208069,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113009,=,nM,44.0,CHEMBL251,Homo sapiens,Ki,nM,44.0
68,208915,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL223270,=,nM,620.0,CHEMBL251,Homo sapiens,Ki,nM,620.0
69,209238,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL114185,=,nM,27.0,CHEMBL251,Homo sapiens,Ki,nM,27.0
70,209240,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL323754,=,nM,73.0,CHEMBL251,Homo sapiens,Ki,nM,73.0
71,211206,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL375190,=,nM,363.0,CHEMBL251,Homo sapiens,Ki,nM,363.0
72,211597,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110047,=,nM,16.0,CHEMBL251,Homo sapiens,Ki,nM,16.0
73,211599,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL419191,=,nM,57.0,CHEMBL251,Homo sapiens,Ki,nM,57.0
74,212748,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL324591,=,nM,17.0,CHEMBL251,Homo sapiens,Ki,nM,17.0
75,212750,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113142,=,nM,0.8,CHEMBL251,Homo sapiens,Ki,nM,0.8
76,214725,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL319387,=,nM,5.7,CHEMBL251,Homo sapiens,Ki,nM,5.7
77,216257,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL325237,=,nM,9.0,CHEMBL251,Homo sapiens,Ki,nM,9.0
78,217145,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL261623,=,nM,196.0,CHEMBL251,Homo sapiens,Ki,nM,196.0
79,217492,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL433162,=,nM,197.0,CHEMBL251,Homo sapiens,Ki,nM,197.0
80,219977,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110069,=,nM,3.0,CHEMBL251,Homo sapiens,Ki,nM,3.0
81,219979,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL332718,=,nM,8.0,CHEMBL251,Homo sapiens,Ki,nM,8.0
82,220737,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2113551,=,nM,1100.0,CHEMBL251,Homo sapiens,Ki,nM,1100.0
83,220743,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL259938,=,nM,43.0,CHEMBL251,Homo sapiens,Ki,nM,43.0
84,221045,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113468,=,nM,76.0,CHEMBL251,Homo sapiens,Ki,nM,76.0
85,221047,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113412,=,nM,57.0,CHEMBL251,Homo sapiens,Ki,nM,57.0
86,224333,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611562,=,nM,6100.0,CHEMBL251,Homo sapiens,Ki,nM,6100.0
87,246626,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611273,=,nM,6083.0,CHEMBL251,Homo sapiens,Ki,nM,6083.0
88,253502,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611561,=,nM,5096.0,CHEMBL251,Homo sapiens,Ki,nM,5096.0
89,262784,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL464859,=,nM,15.1,CHEMBL251,Homo sapiens,Ki,nM,15.1
90,264126,CHEMBL641569,Affinity for A2a receptor by displacement of [3H]-CGS- 21680 from human striatum,B,CHEMBL611552,=,nM,6750.0,CHEMBL251,Homo sapiens,Ki,nM,6750.0
91,305279,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL329294,=,nM,1400.0,CHEMBL251,Homo sapiens,Ki,nM,1400.0
92,305282,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL329294,=,nM,490.0,CHEMBL251,Homo sapiens,Ki,nM,490.0
93,306583,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97757,=,nM,170.0,CHEMBL251,Homo sapiens,Ki,nM,170.0
94,306586,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97757,=,nM,2700.0,CHEMBL251,Homo sapiens,Ki,nM,2700.0
95,307883,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97760,=,nM,100.0,CHEMBL251,Homo sapiens,Ki,nM,100.0
96,307886,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97760,=,nM,450.0,CHEMBL251,Homo sapiens,Ki,nM,450.0
97,307891,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL17127,=,nM,2.0,CHEMBL251,Homo sapiens,Ki,nM,2.0
98,307894,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL17127,=,nM,3.25,CHEMBL251,Homo sapiens,Ki,nM,3.25
99,309371,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL94538,=,nM,1800.0,CHEMBL251,Homo sapiens,Ki,nM,1800.0
100,309374,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL94538,=,nM,4100.0,CHEMBL251,Homo sapiens,Ki,nM,4100.0
101,309377,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL321769,=,nM,580.0,CHEMBL251,Homo sapiens,Ki,nM,580.0
102,309380,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL321769,=,nM,3400.0,CHEMBL251,Homo sapiens,Ki,nM,3400.0
103,313264,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL102429,=,nM,2300.0,CHEMBL251,Homo sapiens,Ki,nM,2300.0
104,313267,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL102429,=,nM,1300.0,CHEMBL251,Homo sapiens,Ki,nM,1300.0
105,313272,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL183,=,nM,200.0,CHEMBL251,Homo sapiens,Ki,nM,200.0
106,313275,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL183,=,nM,144.0,CHEMBL251,Homo sapiens,Ki,nM,144.0
107,314628,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL313864,=,nM,630.0,CHEMBL251,Homo sapiens,Ki,nM,630.0
108,314631,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL313864,=,nM,440.0,CHEMBL251,Homo sapiens,Ki,nM,440.0
109,317038,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97665,=,nM,7000.0,CHEMBL251,Homo sapiens,Ki,nM,7000.0
110,317044,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL418797,=,nM,2500.0,CHEMBL251,Homo sapiens,Ki,nM,2500.0
111,317047,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL418797,=,nM,1700.0,CHEMBL251,Homo sapiens,Ki,nM,1700.0
112,317053,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL103553,=,nM,1800.0,CHEMBL251,Homo sapiens,Ki,nM,1800.0
113,320682,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL104999,=,nM,500.0,CHEMBL251,Homo sapiens,Ki,nM,500.0
114,320685,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL104999,=,nM,110.0,CHEMBL251,Homo sapiens,Ki,nM,110.0
115,321909,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97896,=,nM,1900.0,CHEMBL251,Homo sapiens,Ki,nM,1900.0
116,321912,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97896,=,nM,4800.0,CHEMBL251,Homo sapiens,Ki,nM,4800.0
117,321915,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL323288,=,nM,7200.0,CHEMBL251,Homo sapiens,Ki,nM,7200.0
118,321918,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL323288,=,nM,3800.0,CHEMBL251,Homo sapiens,Ki,nM,3800.0
119,323373,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL102753,=,nM,1400.0,CHEMBL251,Homo sapiens,Ki,nM,1400.0
120,324488,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL104998,=,nM,2300.0,CHEMBL251,Homo sapiens,Ki,nM,2300.0
121,324491,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL104998,=,nM,1600.0,CHEMBL251,Homo sapiens,Ki,nM,1600.0
122,325627,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL328214,=,nM,6500.0,CHEMBL251,Homo sapiens,Ki,nM,6500.0
123,326832,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL103150,=,nM,900.0,CHEMBL251,Homo sapiens,Ki,nM,900.0
124,326835,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL103150,=,nM,1000.0,CHEMBL251,Homo sapiens,Ki,nM,1000.0
125,328417,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97687,=,nM,66.0,CHEMBL251,Homo sapiens,Ki,nM,66.0
126,328420,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97687,=,nM,100.0,CHEMBL251,Homo sapiens,Ki,nM,100.0
127,329640,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL329293,=,nM,1250.0,CHEMBL251,Homo sapiens,Ki,nM,1250.0
128,329643,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL329293,=,nM,230.0,CHEMBL251,Homo sapiens,Ki,nM,230.0
129,330857,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97549,=,nM,460.0,CHEMBL251,Homo sapiens,Ki,nM,460.0
130,330860,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97549,=,nM,550.0,CHEMBL251,Homo sapiens,Ki,nM,550.0
131,330869,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL103559,=,nM,2900.0,CHEMBL251,Homo sapiens,Ki,nM,2900.0
132,330872,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL103559,=,nM,970.0,CHEMBL251,Homo sapiens,Ki,nM,970.0
133,332195,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL97624,=,nM,830.0,CHEMBL251,Homo sapiens,Ki,nM,830.0
134,332198,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL97624,=,nM,490.0,CHEMBL251,Homo sapiens,Ki,nM,490.0
135,334954,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL105000,=,nM,10000.0,CHEMBL251,Homo sapiens,Ki,nM,10000.0
136,334957,CHEMBL642332,Binding affinity against adenosine A2 receptor in human striatal membranes using [3H]CGS-21680 as radioligand,B,CHEMBL105000,=,nM,210.0,CHEMBL251,Homo sapiens,Ki,nM,210.0
137,334960,CHEMBL639492,"Binding affinity against adenosine A2 receptor in bovine striatal membranes using [3H]-CGS-21,680 as radioligand",B,CHEMBL323303,=,nM,230.0,CHEMBL251,Homo sapiens,Ki,nM,230.0
